Title,Status,Pillar,Audience,Week,Platform,Hook,Primary Caption,Short Caption (X),Long Caption (FB/LI),CTA 1,CTA 2,CTA 3,Image Prompt,Video Prompt,15-Sec Script,30-Sec Script,Comment Reply 1,Comment Reply 2,Comment Reply 3,Approved By,Scheduled Date,Posted Date,Notes
C01 — Weekend Cleaning Relief,Draft,Convenience,Busy Homeowners,Week 1,All,You cleaned the bathroom last weekend. You're not doing that again.,"Your weekends deserve better than scrubbing floors. PureTask connects you with trusted, professional cleaners — fast, easy, and on your schedule. Book in minutes. Relax in hours.",Spend your weekend doing literally anything else. Book a PureTask cleaner today.,"Raise your hand if you spent part of last weekend cleaning instead of living. PureTask exists so your weekends go back to you. Browse vetted cleaners, book online in minutes, and walk into a clean home without lifting a mop.",Book your first clean →,See available cleaners near you,Get your home back this weekend,Split-screen: tired person scrubbing sink on Saturday vs. same person relaxed on couch in clean living room. Warm tones. Text: 'Your weekend. Reclaimed.',"15-sec Reel: Clock shows 8am Saturday. Quick cuts — coffee, family, laughing. End: spotless kitchen. VO: 'PureTask. Give your weekend back.'",[HOOK] You're cleaning again this weekend? [CUT] Book a PureTask cleaner tonight. [CUT] Wake up to a clean home. [CTA] Link in bio.,[OPEN] Saturday morning. Coffee. You see the bathroom. [PAUSE] Or — you don't. [MONTAGE] PureTask. Browse. Book in 3 min. Come home to spotless. [END] Your weekend. Your rules.,Totally agree! Booking takes about 3 minutes — let us know if you want help finding a cleaner near you 🙌,You deserve that time back! DM us and we'll help you get set up for your first booking.,That's exactly why we built PureTask. Check the link in bio to see what's available in your area!,,,,High priority — top-performing hook type
C02 — Vetting & Trust,Draft,Trust,Busy Homeowners,Week 1,All,Letting someone into your home is a big deal. We take that seriously.,"Every cleaner on PureTask goes through a real vetting process. Background checks, ratings, reviews — you see everything before you book.",You shouldn't have to guess who's coming into your home. PureTask vetted cleaners — every time.,"Every cleaner on our platform is vetted, reviewed, and rated by real customers. You see their history before you book — no surprises. That's the PureTask standard.",Meet our vetted cleaners →,See how our vetting works,Book with confidence today,"Professional photo: smiling cleaner in PureTask uniform arriving at front door, homeowner looking relaxed and confident. Bright daylight. Text: 'Every cleaner. Vetted. Verified. Trusted.'","Reel: Animated checklist — Background Check ✓, Customer Reviews ✓, Identity Verified ✓ — each checks off with satisfying sound. End: clean living room.",[TEXT] Letting a stranger clean your home? [PAUSE] They're not strangers on PureTask. [CUT] Vetted. Reviewed. Trusted. [CTA] Book with confidence.,[OPEN] You've seen those horror stories. PureTask is built differently. Background checks. Real reviews. Transparent ratings. [MONTAGE] Professional cleaners. Happy homeowners. [END] PureTask. Trust built in.,That's the standard we hold every cleaner to 💪 Every booking shows you full reviews and verified info before you confirm.,Completely understand — trust is everything when it comes to your home. Happy to walk you through it!,Every cleaner on PureTask is background-checked and reviewed by real customers. You can read it all before you book 🙌,,,,Strong for Facebook and LinkedIn
C03 — Home Transformation Feel,Draft,Transformation,Busy Homeowners,Week 1,All,A clean home isn't just cleaner. It feels completely different.,There's something that happens when you walk into a properly clean home. Everything feels lighter. Calmer. More in control. PureTask cleaners reset your space and your headspace.,It's not just about clean floors. It's the feeling after. Book a PureTask cleaner.,Ask anyone who's come home to a clean house after a hard week. Tension drops. Breathing slows. PureTask professional cleaners leave your home feeling genuinely transformed — not just presentable. Livable.,Reset your home this week →,Book a deep clean today,See the difference — book now,"Before/after diptych: Left = cluttered dim living room. Right = same room bright, airy, minimal, warm afternoon light. No people. Purely environmental. Calming tones.","Slow-mo Reel: Camera pans through clean sunlit home. Folded towels, sparkling countertops. Soft music. Text: 'This is what reset feels like.'",[VISUAL: before/after] Before: chaos. After: calm. [TEXT] One PureTask booking changes how your whole space feels. [CTA] Link in bio.,[OPEN: person coming home] The dishes are done. The floors are clean. The whole place feels different. [VO] This is what a PureTask clean does. [CTA] Book yours this week.,That feeling is EVERYTHING 🌿 There's science behind why a clean space reduces stress — happy to help you book your first reset!,Yes! We hear this from customers all the time. It's the reason most people keep booking every 2 weeks 😊,You deserve that feeling too! Check the link in bio — takes about 3 minutes to book your first clean.,,,,Best for Instagram / Reels — visual-heavy
C04 — 3-Minute Booking,Draft,Convenience,Busy Homeowners,Week 1,All,3 minutes to book. Clean home waiting when you get back.,"PureTask was built for the person who already has too much on their plate. Browse cleaners near you, book in minutes, choose your time — and come home to a place that actually feels like a home.",Book a PureTask cleaner in 3 minutes. Come home to spotless. It's really that simple.,"You're not looking for a complicated process. PureTask makes it happen without the phone tag, vague quotes, or no-shows. Browse real cleaners, see their availability, book in minutes, pay securely. Done.",Book in 3 minutes →,See cleaners near you now,Try PureTask this week,"Top-down flat lay: phone showing PureTask booking screen, coffee cup, keys, clean minimal desk. Bright airy aesthetic. Text: '3 minutes. That's all it takes.'",Screen record style Reel: Hand opens app. Searches location. Picks cleaner. Selects date. Timer graphic: '2 min 47 sec.' Cut to: clean home. Text: 'That easy.',[SCREEN RECORD] Open app. Search. Pick cleaner. Book. [CUT] Come home to this. [CLEAN SHOT] [TEXT] 3 minutes. PureTask.,[OPEN: person on lunch break] Used to spend weekends cleaning. Now I spend 3 minutes Monday and that's it. [APP DEMO] Browse. Book. Done. [CUT: clean home Friday] This is the upgrade.,3 minutes is genuinely all it takes! 😄 Give it a try — we're always here if you need help.,That's exactly what we built it for! Drop a comment with your city and we'll confirm cleaners available in your area.,"Simple booking, reliable cleaners, no stress 🙌 Tap the link in bio to get started!",,,,Good for TikTok demo-style content
C05 — Process Transparency,Draft,Trust,Busy Homeowners,Week 1,All,Here's exactly what happens when you book a PureTask cleaner.,"No mystery. No guessing. When you book on PureTask, you know exactly what to expect — who's coming, when they arrive, what they'll clean, and how to reach them.","PureTask is built on transparency. See who's coming, what they'll do, how to reach them — before you book.","When you book on PureTask: you see the cleaner's full profile, reviews, and ratings. You confirm time and scope. You get a reminder before arrival. You can message in-app. After the clean, you review publicly. No ambiguity. No surprises.",See how PureTask works →,Read real customer reviews,Book with full transparency,Clean infographic: 4 steps — 1) Browse vetted cleaners 2) Book your time 3) Cleaner arrives 4) Review and rebook. Teal brand colors. Minimal flat design.,"Walkthrough Reel: Screen recording of full PureTask flow. Profile view, booking, arrival notification, post-clean review. Text annotations. Calm music. Text: 'No mystery. Just clean.'",[SCREEN RECORD] Step 1: Browse. Step 2: Book. Step 3: Cleaner arrives on time. Step 4: Review. [TEXT] That's the whole process. PureTask.,[OPEN: 'What actually happens when you book?'] [STEP-BY-STEP ANIMATION] Browse vetted profiles. Confirm scope. Reminder before arrival. Message in-app. Review after. [END] No mystery. Built on transparency.,You should know exactly what you're getting before anyone arrives 🙏 Any other questions? Happy to help!,Step-by-step is exactly how we designed it! You're in control the whole way through 💪,Transparency is everything when it comes to your home. Drop a question and we'll walk you through the full process!,,,,Great for FAQ / explainer format
C06 — Family Time vs Cleaning,Draft,Transformation,Families,Week 1,All,Your kids grow up fast. Don't spend that time cleaning.,The hours you spend cleaning every week add up fast. PureTask gives them back. So you can focus on the moments that actually matter.,Your kids don't need a spotless house. They need you. PureTask handles the cleaning.,"Every parent knows the math: chores steal hours that don't come back. PureTask was built for families who want a clean home without sacrificing the good parts of the week. Book a recurring cleaner and reclaim your evenings, your weekends, and your presence.",Book a family clean →,Set up recurring cleanings,Get your evenings back,"Warm golden-hour photo: parent and young child building blocks on clean living room floor. Home tidy and bright in background. Cozy, safe. Text: 'The important stuff. Handled.'","Emotional Reel: Time-lapse of a week — messy mornings, busy evenings — PureTask cleaner arrives. House resets. Family gathers at clean dinner table. Text: 'The cleaning is handled. The memories aren't.'",[STAT] Parents spend 6+ hours/week cleaning. [CUT] That's 300+ hours a year. [CUT] PureTask gives them back. [CTA] Link in bio.,[OPEN: rushed parent cleaning while kids play] This is every weekend. [PAUSE] What if it wasn't? PureTask handles it. [FAMILY SCENE] Clean house. Family together. [CTA] Book yours today.,The hours add up so fast 😌 Happy to help you set up a recurring schedule that works for your family!,This is one of the most common things parents tell us after their first booking ❤️,"Family time > floor time, always 🙌 Check the link in bio to see available cleaners near you.",,,,"Target: MomTok, parenting communities"
C07 — Set It & Forget It,Draft,Convenience,Busy Homeowners,Week 1,All,Your cleaning schedule shouldn't be another thing to manage.,"Set up a recurring PureTask cleaner and take cleaning off your to-do list permanently. Weekly, bi-weekly, or monthly — you pick the cadence, we handle the rest.",Set it. Forget it. PureTask recurring cleanings mean you never think about scheduling again.,Your to-do list is already too long. PureTask's recurring booking feature means you set your preferred cleaner and cadence once — and your home stays clean without any additional action from you. Zero maintenance.,Set up recurring cleanings →,Book your schedule today,Automate your home care,Clean minimal graphic: phone calendar with recurring green checkmarks on cleaning days. Clean home in soft focus background. Text: 'Set it once. Forget it forever.',"Reel: Calendar pages flip — every 2 weeks, a green check appears. Person arrives home to clean house each time, increasingly relaxed. End: 'Recurring cleanings. PureTask.'",[CALENDAR ANIMATION] Every 2 weeks. Clean home. No effort. [TEXT] Set up a PureTask recurring clean today. [CTA] Link in bio.,[OPEN: person with long to-do list] What if cleaning wasn't on here anymore? [CUT: deletes 'clean house'] Recurring PureTask. Set schedule. Pick cleaner. Done. [CALENDAR FLIPPING] Clean home. Every time. Zero effort.,"Recurring is our most popular option for exactly this reason 😄 One setup, then it just works. Happy to help you get started!","Cleaning should be handled, not managed. Check the link in bio to set yours up!",Set it once and never think about it again 🙌 Let us know what cadence you're thinking!,,,,Push recurring booking CTA hard here
C08 — Social Proof & Reviews,Draft,Proof,Busy Homeowners,Week 1,All,Don't take our word for it. Here's what our customers actually say.,Real bookings. Real cleaners. Real results. PureTask customers come back because the work is genuinely good. Read the reviews before you book — we've got nothing to hide.,Read the reviews. Book with confidence. Real customers. Real results. PureTask.,"We could tell you PureTask is great. But we'd rather let our customers do that. Every cleaner on the platform has a public review trail from real, verified bookings. Before you confirm, you read what others experienced. This is what accountability looks like.",Read real reviews →,See top-rated cleaners near you,Book a 5-star cleaner today,"Screenshot-style graphic: Three real-looking customer reviews (5 stars, honest descriptions) displayed in clean UI card layout. Teal star ratings. Authentic feel. Text: 'Real customers. Real results.'","Reel: Customer text testimonials appear one by one — short, punchy quotes about real results. Each with star rating. Calm music. End: 'See more reviews in app.'","[CUSTOMER QUOTES APPEAR] 'Best cleaner I've ever had.' 'Showed up on time, incredible job.' 'Booked again immediately.' [TEXT] Real reviews. Real results. PureTask.","[OPEN: scrolling reviews on phone] These are real customers. Real cleaners. Real results. [QUOTES ONE BY ONE] [END] Before you book, you read everything. That's how it should work.",We love hearing this — thank you! Your review helps other homeowners feel confident booking 🙏,Reviews like this are everything to us and to our cleaners ❤️ So glad the experience matched what you hoped for!,This is the standard we hold every cleaner to! Thank you — we'll make sure your cleaner sees this 🌟,,,,Refresh with real customer quotes when available
C09 — Local Market Launch,Draft,Local Relevance,Busy Homeowners,Week 1,All,"PureTask is now booking in [City]. Real cleaners, near you.","We're in [City]. That means trusted, professional cleaners available near you — ready to book this week. Real people from your area, reviewed by your neighbors.",PureTask is live in [City]. Book a vetted local cleaner this week. Link in bio.,"Great news for homeowners in [City]: PureTask is here. Browse vetted, professional cleaners in your area — reviewed by customers just like you. Whether it's a one-time deep clean or recurring schedule, book in minutes.",Book in [City] →,See cleaners near [Neighborhood],First clean discount — [City] only,"Bold graphic: city skyline or local landmark in background, clean home interior visual in foreground. PureTask branding. Text: 'Now serving [City]. Book your first clean.'","Reel: Quick city establishing shots (streets, neighborhoods) with upbeat local music. Text: 'PureTask is now in [City].' Cut to booking screen. 'Vetted cleaners. Your schedule.'",[CITY SHOTS] PureTask is now booking in [City]. [CUT: cleaner arrives] Vetted. Local. Ready this week. [CTA] Link in bio.,"[OPEN: recognizable local area] If you're a homeowner in [City], this is for you. PureTask connects you with professional vetted cleaners in your area — bookable in minutes. [BOOKING SCREEN] Your neighbors are already booking. Your turn.","Yes, we're in [City]! 🎉 Tap the link in bio to see cleaners available near you this week.",Welcome to PureTask [City]! 🙌 Let us know what area you're in and we'll confirm availability.,[City] cleaners are ready to book! Tap the link in bio to browse profiles and availability.,,,,Replace [City] and [Neighborhood] with target market before scheduling
C10 — 6 Hours Back,Draft,Convenience,Busy Homeowners,Week 1,All,What would you do with 6 extra hours this weekend?,The average homeowner spends 6 hours per week on household cleaning. PureTask gives those hours back. One booking. Vetted cleaner. Clean home. Use the time however you actually want.,6 hours of cleaning. One PureTask booking. Do the math.,"6 hours per week on cleaning. That's 312 hours per year — nearly 26 full days. PureTask isn't just a cleaning service. It's a time decision. One booking with a vetted professional cleaner returns hours you can spend on rest, family, work, or whatever actually matters to you.",Get your 6 hours back →,Book your first PureTask clean,See available cleaners now,"Bold typographic graphic: Large text '6 HOURS' crossed out, replaced with 'YOURS.' Teal and white palette, clean minimal design. Subtext: 'PureTask handles the cleaning.'","Split-screen Reel: Left: person cleaning for 6 hours. Right: same person hiking, at brunch, reading. Text: '6 hours. Your choice.' PureTask end card.",[STAT GRAPHIC] Average homeowner: 6 hours/week cleaning. [CUT] PureTask booking: 3 minutes. [CUT] You do the math. [CTA] Link in bio.,[OPEN: stopwatch] 6 hours. What would you actually do with that time? [SPLIT SCREEN: people living vs. cleaning] PureTask handles the cleaning. You handle the living. [CTA] Book your first clean.,The math never lies 😄 3 minutes to book = 6 hours back. Tap the link in bio to get started!,Most people don't realize how much time it is until they see it laid out like this. Happy to help you book!,6 hours is a LOT 😅 PureTask makes reclaiming those hours genuinely easy. Check the link in bio!,,,,Strong stat-based hook — good for boosting
